JPri,JSeg,Team,PlayDuringWeek
21,,Levante,TRUE
21,,Real Betis,TRUE
21,,Eibar,TRUE
21,,Celta de Vigo,TRUE
21,,Valladolid,TRUE
21,,Mallorca,TRUE
21,,Real Madrid,TRUE
21,,Barcelona,TRUE
21,,Villarreal,TRUE
21,,Real Sociedad,TRUE
21,,Osasuna,TRUE
21,,Leganés,TRUE
21,,Sevilla,TRUE
21,,Granada CF,TRUE
21,,Valencia CF,TRUE
21,,Athletic Club,TRUE
21,,Espanyol,TRUE
,25,Girona,TRUE
,25,Elche,TRUE
,25,Real Zaragoza,TRUE
,25,Mirandés,TRUE
,25,Rayo Vallecano,TRUE
,26,Tenerife,TRUE
22,,Real Madrid,TRUE
22,,Barcelona,TRUE
22,,Villarreal,TRUE
22,,Real Sociedad,TRUE
22,,Osasuna,TRUE
22,,Leganés,TRUE
22,,Sevilla,TRUE
22,,Granada CF,TRUE
22,,Valencia CF,TRUE
22,,Athletic Club,TRUE
,26,Real Zaragoza,TRUE
,26,Mirandés,TRUE
,26,Rayo Vallecano,TRUE
,26,Tenerife,TRUE
23,,Real Madrid,TRUE
23,,Barcelona,TRUE
23,,Villarreal,TRUE
23,,Real Sociedad,TRUE
23,,Granada CF,TRUE
23,,Valencia CF,TRUE
23,,Athletic Club,TRUE
,27,Mirandés,TRUE
24,,Real Sociedad,TRUE
24,,Granada CF,TRUE
24,,Athletic Club,TRUE
,28,Mirandés,TRUE
25,,Valencia CF,TRUE
25,,Sevilla,TRUE
25,,Getafe,TRUE
25,,Atlético de Madrid,TRUE
25,,Espanyol,TRUE
,29,Mirandés,TRUE
,29,Real Zaragoza,TRUE
26,,Sevilla,TRUE
26,,Getafe,TRUE
26,,Barcelona,TRUE
26,,Espanyol,TRUE
26,,Real Madrid,TRUE
,31,Mirandés,TRUE
27,,Athletic Club,TRUE
27,,Real Sociedad,TRUE
27,,Granada CF,TRUE


